"name";"lat";"lon"
"polytech univ";47,3569079;0,702988098
"ashoka univ";28,9468051;77,10145281
"rajamangala univ tech suvarnabhumi";14,3596247;100,5652545
"thonburi univ";13,65180005;100,4944223
"amity univ";26,85095965;81,04950965
"univ nicosia";35,16611855;33,31596764
"vrije univ brussel";50,8225751;4,395532309
"indus univ";24,8573786;67,0405996
"univ guadalajara";20,672219;-103,380321
"univ paris diderot";48,827222;2,376001321
"univ libre bruxelles";50,8134537;4,38130882
"univ pitesti";44,85465095;24,88192166
"flores salado";-0,9178476;-78,6252615
"univ johanneburg";57,6904557;11,9719876
"mansoura univ";31,04073135;31,35816474
"ericsson res";44,921725;-93,2318907
"univ michoacana";19,4265987;-99,13628172
"univ alabama birmingham";33,50087335;-86,80664256
"multimedia univ mmu";2,2486749;102,2758369
"univ tennessee chattanooga";35,04707885;-85,29825158
"nmims univ";12,89558285;77,60262192
"abu dhabi polytech";50,42340395;9,322264769
"british univ dubai";25,10620375;55,40025071
"univ coll twente";52,08340265;5,148284942
"nirma univ";23,1283839;72,544473
"deemed univ";20,71492405;78,57772268
"univ fortaleza unifor";-3,76882255;-38,47772811
"wu univ econ and business";39,6371761;-79,95398218
"univ ulster";54,60458725;-5,929425362
"taibah univ";24,48545155;39,54296096
"univ punjab lahore";31,4466149;74,2679762
"visa res";62,716132;7,9365755
"sri sathya sai inst higher learning";13,0012569;77,75967084
"univ kebangsaan malaysia";2,9237302;101,7810433
"univ mhamed bougara boumerdes";36,76270575;3,474665509
"univ ean";4,6634285;-74,05501617
"sentara healthcare";36,8616399;-76,3043041
"cumhuriyet univ";40,99122765;28,83207792
"szabist univ";33,69849525;73,07117394
"guiyang univ";26,5925815;106,7182373
"beijing normal univ zhuhai";22,35189835;113,5302203
"univ singidunum";50,0734966;14,4340104
"univ norte";36,0373638;-79,0355663
"shijiazhuang tiedao univ";37,88276605;114,400292
"fraunhofer inst iosb";49,01545575;8,426213847
"univ grenoble alpes";45,1937158;5,765579892
"res and dev dept";43,1169528;-71,94960273
"umea univ";63,82177625;20,30431631
"univ ramon llull";39,60872805;2,673586946
"res and healthcare";51,3942283;6,1757027
"manipal univ jaipur";26,84296845;75,56544619
"microsoft res asia";39,97834785;116,3041191
"univ bozen bolzano";46,49832335;11,35009499
"banaras hindu univ";25,2662887;82,9927969
"univ brasilia unb";-15,75799565;-47,87135393
"st joseph univ";-6,79276775;39,08855503
"london business sch";51,3524725;-0,173999294
"minho univ";41,56184865;-8,397292966
"univ town shenzhen";22,5851209;113,9601904
"pengcheng lab";34,2665541;117,1809741
"univ lille";37,936437;-88,6094993
"lyon catholic univ";44,45744485;-95,7592368
"jawaharlal nehru univ";28,54016675;77,16456005
"pes univ";12,9345503;77,53429656
"univ delhi";28,59475755;77,0180611
"kharkov natl univ";50,0044398;36,2346171
"univ econ";13,74311795;100,532879
"nexa ctr";18,8120654;-96,9650745
"virtual vehicle res ctr";47,05794805;15,46285288
"free univ bolzano bozen";46,49832335;11,35009499
"joint res ctr";6,3348962;-9,9968868
"univ wurzburg";49,7858041;9,933900603
"univ arts london";53,8012316;-1,5476213
"ibm china res lab";40,0488546;116,2802433
"ericsson res bangalore";12,9837369;77,69348401
